20180517,新力铂园,20000,在售,[红谷滩区]						九龙湖学府大道与茶园路交汇处,新力铂园201㎡别墅户型  4室3厅4卫1厨				 				201㎡(建面),参考总价：402万元/套新力铂园182㎡别墅户型  5室3厅4卫1厨				 				182㎡(建面),参考总价：364万元/套新力铂园B户型  3室2厅2卫1厨				 				108㎡(建面),总价待定:
20180517,美的悦江府,14000,在售,[南昌县]						沿江南大道与银湖三路交汇口(九龙湖过江...,美的悦江府C户型  3室2厅2卫1厨				 				127㎡(建面),参考总价：177.8万元/套美的悦江府B户型  4室2厅2卫1厨				 				140㎡(建面),参考总价：196万元/套美的悦江府A户型  4室2厅2卫1厨				 				168㎡(建面),参考总价：235.2万元/套
20180517,南昌新建吾悦广场,11000,在售,[新建区]						新建区长崚大道与子实路交汇处西南角,南昌新建吾悦广场公寓户型37-45平  1室1厅1卫1厨				 				40㎡(建面),参考总价：44万元/套南昌新建吾悦广场公寓户型60平  1室1厅1卫1厨				 				60㎡(建面),参考总价：66万元/套
20180517,南昌恒大御澜府,18500,在售,[高新开发区]						高新区沿江北快速路与京东大道交会处往...,南昌恒大御澜府高层127㎡户型  3室2厅2卫1厨				 				127㎡(建面),参考总价：234.95万元/套南昌恒大御澜府花园院墅127㎡户型（4-5层）  3室2厅2卫1厨				 				127㎡(建面),参考总价：234.95万元/套南昌恒大御澜府花园院墅127㎡户型（1-3层）  3室2厅2卫1厨				 				127㎡(建面),参考总价：234.95万元/套
20180517,蓝光雍锦半岛,19000,在售,[高新开发区]						紫阳大道与创新一路交汇处(地铁艾溪湖东...,蓝光雍锦半岛A2户型125平3室2厅2卫  3室2厅2卫1厨				 				125㎡(建面),参考总价：237.5万元/套蓝光雍锦半岛A1户型125平3室2厅2卫  3室2厅2卫1厨				 				125㎡(建面),参考总价：237.5万元/套蓝光雍锦半岛B户型143平4室2厅2卫  4室2厅2卫1厨				 				143㎡(建面),参考总价：271.7万元/套
20180517,鸿海万科天空之城,12700,在售,[南昌县]						迎宾中大道与富山五路交汇处(莲塘大润发...,鸿海万科天空之城A户型97平3室2厅2卫  3室2厅2卫1厨				 				97㎡(建面),参考总价：123.19万元/套鸿海万科天空之城B户型122平3室2厅2卫  3室2厅2卫1厨				 				122㎡(建面),参考总价：154.94万元/套鸿海万科天空之城C户型135平4室2厅2卫  4室2厅2卫1厨				 				135㎡(建面),总价待定:
20180517,万科玖里,16500,在售,[经开区]						庐山南大道1888号,万科玖里108㎡户型  3室2厅2卫1厨				 				108㎡(建面),参考总价：178.2万元/套万科玖里128㎡户型  3室2厅2卫1厨				 				128㎡(建面),参考总价：211.2万元/套万科玖里99㎡户型  3室2厅2卫1厨				 				99㎡(建面),参考总价：163.35万元/套
20180517,万科红墅(万科红郡二期),14000,在售,[青山湖区]						青山湖区城南大道2799号,万科红墅（万科红郡二期）高层100平3房2厅2卫  3室2厅2卫1厨				 				100㎡(建面),参考总价：140万元/套万科红墅（万科红郡二期）高层120平4房2厅2卫  4室2厅2卫1厨				 				120㎡(建面),参考总价：168万元/套万科红墅（万科红郡二期）叠墅波士顿121平3室2厅3卫  3室2厅3卫1厨				 				121㎡(建面),参考总价：169.4万元/套
20180517,煌盛悦佳广场,9300,在售,[南昌县]						南昌县莲塘莲西路和澄湖北大道交汇处,煌盛悦佳广场26㎡公寓户型  1室1厅1卫1厨				 				26㎡(建面),参考总价：24.18万元/套煌盛悦佳广场35㎡公寓户型  1室1厅1卫1厨				 				35㎡(建面),参考总价：32.55万元/套煌盛悦佳广场38-46㎡公寓户型  1室1厅1卫1厨				 				46㎡(建面),参考总价：42.78万元/套
20180517,城泰枫华天成,9000,在售,[经开区]						曰修路与昌北大道交汇处,城泰枫华天成A1A4户型  4室2厅2卫1厨				 				117㎡(建面),总价待定:城泰枫华天成B2B3户型  3室2厅1卫1厨				 				87㎡(建面),参考总价：78.3万元/套城泰枫华天成B1B4户型  3室2厅2卫1厨				 				106㎡(建面),参考总价：95.4万元/套
20180517,中航城,价格待定,待定,[青云谱区]						新溪桥东二路(洪都公园旁),中航城75㎡H1户型二期  2室2厅1卫1厨				 				75㎡(建面),总价待定:中航城97㎡G1户型二期  3室2厅1卫1厨				 				97㎡(建面),总价待定:中航城A1户型  3室2厅2卫1厨				 				115㎡(建面),总价待定:
20180517,富力·金禧悦城|铂悦,价格待定,待定,[南昌县]						象湖新城沿江南大道与汇仁大道交汇处(往...,富力·金禧悦城|铂悦高层F户型  3室2厅1卫1厨				 				101㎡(建面),总价待定:富力·金禧悦城|铂悦二期铂悦100㎡悦耀高层户型  3室2厅1卫1厨				 				100㎡(建面),总价待定:富力·金禧悦城|铂悦二期铂悦110㎡悦耀高层户型  3室2厅2卫1厨				 				110㎡(建面),总价待定:
20180517,正荣华润玲瓏府,价格待定,待定,[红谷滩区]						九龙湖达智路88号正荣学府壹号售楼处,正荣华润玲瓏府90㎡A3户型  3室2厅1卫1厨				 				90㎡(建面),总价待定:正荣华润玲瓏府108㎡B户型  3室2厅2卫1厨				 				108㎡(建面),总价待定:正荣华润玲瓏府112㎡A1户型  4室2厅2卫1厨				 				112㎡(建面),总价待定:
20180517,蓝光林肯公园8号,价格待定,待定,[高新开发区]						高新区麻丘镇中街555号,蓝光林肯公园8号99㎡A1户型  3室2厅2卫1厨				 				99㎡(建面),总价待定:蓝光林肯公园8号107㎡A2户型  3室2厅2卫1厨				 				107㎡(建面),总价待定:蓝光林肯公园8号120㎡A3户型  3室2厅2卫1厨				 				120㎡(建面),总价待定:
20180517,磨盘山8号,9500,在售,[湾里区]						磨盘山南路8号(双马石路),磨盘山8号洋房6层  3室2厅2卫1厨				 				114㎡(建面),参考总价：108.3万元/套磨盘山8号洋房6层（2）  4室2厅2卫1厨				 				153㎡(建面),参考总价：145.35万元/套磨盘山8号洋房5层（1）  2室2厅1卫1厨				 				75㎡(建面),参考总价：71.25万元/套
